sample_id,domain,complexity,condition,l0_norm,l2_norm,reconstruction_error,gini_coefficient,total_energy,run_id
adv_143,adversarial,9,hallucination,232,65.21228790283203,87.1323013305664,0.25170330101345817,804.8741587400436,20251228_210046
adv_144,adversarial,8,fact,556,97.33094024658203,116.6358413696289,0.23058113109180445,2074.2114013433456,20251228_210046
adv_144,adversarial,8,hallucination,382,81.78221893310547,106.28280639648438,0.24296285248994232,1411.8088328838348,20251228_210046
adv_145,adversarial,9,fact,457,105.40750122070312,118.31211853027344,0.2770859606728533,1809.7340066432953,20251228_210046
adv_145,adversarial,9,hallucination,347,77.84129333496094,108.37226104736328,0.23632167561333528,1247.2881795167923,20251228_210046
adv_146,adversarial,8,fact,512,96.46842193603516,120.19462585449219,0.24039982987795083,1923.6205985546112,20251228_210046
adv_146,adversarial,8,hallucination,449,87.2563705444336,114.18307495117188,0.232990798987865,1653.90713596344,20251228_210046
adv_147,adversarial,9,fact,876,148.6326446533203,158.7329864501953,0.26119052956335786,3791.624410867691,20251228_210046
adv_147,adversarial,9,hallucination,569,105.69725036621094,117.06330871582031,0.2508339772628385,2226.4617062807083,20251228_210046
adv_148,adversarial,8,fact,771,126.191162109375,139.09469604492188,0.24956418125989877,3116.470367193222,20251228_210046
adv_148,adversarial,8,hallucination,642,111.78246307373047,123.15148162841797,0.2428975334290604,2509.077716231346,20251228_210046
adv_149,adversarial,9,fact,403,85.50633239746094,107.23461151123047,0.24963964895104374,1471.4790056943893,20251228_210046
adv_149,adversarial,9,hallucination,501,98.91553497314453,112.26701354980469,0.2426977552820888,1921.41716837883,20251228_210046
adv_150,adversarial,8,fact,677,110.80671691894531,121.11395263671875,0.23559873451054703,2614.8059483766556,20251228_210046
adv_150,adversarial,8,hallucination,833,137.42254638671875,137.2128448486328,0.2571223756097949,3452.701601743698,20251228_210046
adv_151,adversarial,9,fact,737,119.94685363769531,127.5565414428711,0.24726800362257584,2881.014920115471,20251228_210046
adv_151,adversarial,9,hallucination,1062,154.18043518066406,175.131103515625,0.26038607567644756,4361.922383546829,20251228_210046
adv_152,adversarial,8,fact,310,75.29438018798828,104.94377899169922,0.24866041991351473,1075.2908623218536,20251228_210046
adv_152,adversarial,8,hallucination,174,50.440364837646484,90.66410064697266,0.22428026449821759,561.731477022171,20251228_210046
adv_153,adversarial,9,fact,431,90.87862396240234,115.9351577758789,0.24388396682041802,1640.5563144683838,20251228_210046
adv_153,adversarial,9,hallucination,405,93.87042999267578,111.54670715332031,0.2569467749138541,1522.7968610525131,20251228_210046
adv_154,adversarial,8,fact,763,123.06404876708984,134.04782104492188,0.24564228448337766,3024.0605008602142,20251228_210046
adv_154,adversarial,8,hallucination,477,94.86441802978516,117.94398498535156,0.24492510634870546,1777.1035854816437,20251228_210046
adv_155,adversarial,9,fact,521,113.93170928955078,124.7259750366211,0.2694087374183445,2145.840269446373,20251228_210046
adv_155,adversarial,9,hallucination,503,106.51091003417969,122.16462707519531,0.26036190004687576,1997.0430985689163,20251228_210046
adv_156,adversarial,8,fact,324,76.31147003173828,110.8118896484375,0.24735776471269455,1191.0103824138641,20251228_210046
adv_156,adversarial,8,hallucination,327,78.18970489501953,109.0483169555664,0.23370792412479457,1191.397057056427,20251228_210046
adv_157,adversarial,9,fact,509,105.46529388427734,131.4308624267578,0.2574840234383382,2049.8516334295273,20251228_210046
