sample_id,domain,complexity,condition,l0_norm,sphericity,elongation,shape_class,eigenvalue_entropy,dimensionality,misalignment_angle,lambda_1,lambda_2,lambda_3,run_id
logic_024,logical,5,fact,358,0.6715580224990845,0.6815401911735535,Triaxial,5.6882324,238.86981149926703,73.11037465051082,0.021618295460939407,0.010041633620858192,0.0097496397793293,20251228_220922
logic_024,logical,5,hallucination,611,0.7317703366279602,0.8033981323242188,Triaxial,6.131771,343.59712160021104,77.17617299552565,0.018289634957909584,0.011805020272731781,0.009793877601623535,20251228_220922
logic_025,logical,6,fact,559,0.8887888193130493,0.9359946250915527,Triaxial,6.0886326,357.29203841310874,87.5042120624347,0.010276265442371368,0.00900289136916399,0.008117690682411194,20251228_220922
logic_025,logical,6,hallucination,528,0.8678731918334961,0.9671380519866943,Triaxial,6.043367,347.656963712784,81.35653014672081,0.009262057952582836,0.00866332184523344,0.006976217497140169,20251228_220922
logic_026,logical,5,fact,433,0.6228933930397034,0.8286478519439697,Triaxial,5.838845,262.9428891914569,76.9224760365437,0.022027630358934402,0.015125432051718235,0.008546637371182442,20251228_220922
logic_026,logical,5,hallucination,708,0.8504897356033325,0.9074044823646545,Triaxial,6.2722077,413.35411509720655,74.70016979440756,0.011118925176560879,0.009155132807791233,0.008042682893574238,20251228_220922
logic_027,logical,4,fact,828,0.8278599381446838,0.8700030446052551,Triaxial,6.409565,472.8396593769176,79.53430405537578,0.010208220221102238,0.007726655341684818,0.006996224168688059,20251228_220922
logic_027,logical,4,hallucination,975,0.8366044759750366,0.92970210313797,Triaxial,6.530314,524.2083555952879,80.34177742565835,0.009176785126328468,0.00793191697448492,0.006422896403819323,20251228_220922
logic_028,logical,6,fact,462,0.7417086958885193,0.7829268574714661,Triaxial,5.891745,278.1729469739952,71.90575268550634,0.019831601530313492,0.012156265787780285,0.010909995064139366,20251228_220922
logic_028,logical,6,hallucination,622,0.8822487592697144,0.906593382358551,Triaxial,6.152432,364.38300180726,77.34134835541143,0.012550422921776772,0.010315337218344212,0.009768784046173096,20251228_220922
logic_029,logical,5,fact,414,0.6282030940055847,0.7366621494293213,Triaxial,5.773702,238.6790043841138,74.68645542112108,0.026170851662755013,0.014202163554728031,0.010328041389584541,20251228_220922
logic_029,logical,5,hallucination,553,0.9021578431129456,0.94622802734375,Spherical,6.0815997,358.96468227662285,78.08595603683055,0.008889214135706425,0.007958934642374516,0.007234830409288406,20251228_220922
logic_030,logical,4,fact,516,0.9000208973884583,0.9098870754241943,Spherical,6.011742,335.47014900070633,76.05232106635384,0.00902984943240881,0.007475761696696281,0.007314518094062805,20251228_220922
logic_030,logical,4,hallucination,821,0.8217060565948486,0.8720038533210754,Triaxial,6.377891,456.76320712564603,74.67792665738878,0.009034549817442894,0.006869787350296974,0.006100134924054146,20251228_220922
logic_031,logical,5,fact,397,0.8364238142967224,0.9825518727302551,Triaxial,5.76881,255.44720319502204,81.70690085644969,0.01685183309018612,0.0162688959389925,0.011789622716605663,20251228_220922
logic_031,logical,5,hallucination,451,0.9472993612289429,0.9663735628128052,Spherical,5.911567,307.8077816781198,80.46141913901641,0.010744629427790642,0.010034171864390373,0.009641974233090878,20251228_220922
logic_032,logical,6,fact,759,0.5740029811859131,0.6168417930603027,Triaxial,6.319323,411.8987906533242,75.45166879693433,0.017883427441120148,0.006804532837122679,0.005892220884561539,20251228_220922
logic_032,logical,6,hallucination,765,0.7019233107566833,0.7820478677749634,Triaxial,6.3325853,436.0639858390494,81.90030494235393,0.012299217283725739,0.007522186264395714,0.006059779319912195,20251228_220922
logic_033,logical,4,fact,668,0.7863531708717346,0.8336740136146545,Triaxial,6.200332,370.61611819990617,81.39807608097391,0.014604791067540646,0.01015051081776619,0.009030892513692379,20251228_220922
logic_033,logical,4,hallucination,659,0.7929251790046692,0.9760083556175232,Triaxial,6.182854,356.03502885436126,79.95270517082716,0.015265335328876972,0.014541640877723694,0.009597779251635075,20251228_220922
logic_034,logical,5,fact,532,0.9179731607437134,0.9448868036270142,Spherical,6.0511355,352.61953862975474,77.6388367194016,0.008619509637355804,0.0076955934055149555,0.007263443432748318,20251228_220922
logic_034,logical,5,hallucination,564,0.740981936454773,0.7577734589576721,Triaxial,6.0938616,357.98631652327254,82.53789981438186,0.012516201473772526,0.0071870614774525166,0.006872072815895081,20251228_220922
logic_035,logical,6,fact,549,0.7899578809738159,0.9348289966583252,Triaxial,6.017468,299.3566640209331,82.49209463881927,0.018565651029348373,0.01622461900115013,0.01158558763563633,20251228_220922
logic_035,logical,6,hallucination,548,0.9298914074897766,0.9695817232131958,Spherical,5.9966083,281.336928565823,78.19312975633531,0.019077500328421593,0.017934540286660194,0.01649627834558487,20251228_220922
logic_036,logical,5,fact,546,0.67048579454422,0.7515138983726501,Triaxial,6.024918,289.4548898616073,72.97700655787844,0.025625847280025482,0.01447279006242752,0.01152012962847948,20251228_220922
logic_036,logical,5,hallucination,1186,0.8748639225959778,0.9245501756668091,Triaxial,6.6609974,594.5370392797805,89.30174594822141,0.006732961628586054,0.005755288526415825,0.0051533193327486515,20251228_220922
logic_037,logical,4,fact,235,0.6466531157493591,0.6569929122924805,Triaxial,5.269021,148.56613491957242,66.44212692717711,0.03719513118267059,0.016054896637797356,0.015553523786365986,20251228_220922
logic_037,logical,4,hallucination,255,0.7189407348632812,0.7913476228713989,Triaxial,5.3520603,167.13472600086595,72.18669737420961,0.02947058528661728,0.018455395475029945,0.015232631005346775,20251228_220922
logic_038,logical,6,fact,807,0.6412601470947266,0.7019430994987488,Triaxial,6.352786,418.51156793317733,77.27320178115981,0.016973450779914856,0.008363227359950542,0.006979729048907757,20251228_220922
logic_038,logical,6,hallucination,237,0.8494691848754883,0.8916922807693481,Triaxial,5.3012867,164.22131841945725,74.4823199414494,0.023699183017015457,0.018843576312065125,0.017101280391216278,20251228_220922
logic_039,logical,5,fact,741,0.7781225442886353,0.8086751103401184,Triaxial,6.306873,431.22541054349114,79.60123004082617,0.010253983549773693,0.006705649197101593,0.006208527367562056,20251228_220922
logic_039,logical,5,hallucination,748,0.7379812002182007,0.7960112690925598,Triaxial,6.317668,435.26621113827025,77.76577021318181,0.010849039070308208,0.006874319165945053,0.0059085628017783165,20251228_220922
logic_040,logical,4,fact,371,0.7181991338729858,0.9161943197250366,Triaxial,5.6802993,227.74170829605254,82.87201886524639,0.02044987678527832,0.01716587319970131,0.010548249818384647,20251228_220922
logic_040,logical,4,hallucination,386,0.620047390460968,0.6206653714179993,Triaxial,5.7239637,234.11961817801927,63.581823259757066,0.025759633630514145,0.009923269040882587,0.009903518483042717,20251228_220922
logic_041,logical,5,fact,267,0.704862117767334,0.8344421982765198,Triaxial,5.3657727,158.80468394549126,66.81982949920031,0.031939662992954254,0.022239388898015022,0.015868600457906723,20251228_220922
logic_041,logical,5,hallucination,253,0.7805926203727722,0.8376112580299377,Triaxial,5.3115544,149.9533861579173,68.13071697300673,0.032602377235889435,0.022873589769005775,0.01986543834209442,20251228_220922
logic_042,logical,6,fact,982,0.7289776802062988,0.9485875368118286,Triaxial,6.5210094,510.45613500136466,69.7145780298384,0.01034408900886774,0.00930780079215765,0.005496935453265905,20251228_220922
logic_042,logical,6,hallucination,838,0.6867529153823853,0.9558477997779846,Triaxial,6.396732,447.6590246242883,71.22166400113994,0.012516326270997524,0.01143547985702753,0.005903069395571947,20251228_220922
logic_043,logical,4,fact,285,0.9106968641281128,0.9394409656524658,Spherical,5.4838314,200.43190764626692,76.54333238085562,0.017732005566358566,0.01564936898648739,0.014706372283399105,20251228_220922
logic_043,logical,4,hallucination,320,0.7839661836624146,0.9641822576522827,Triaxial,5.5849776,222.40962143011015,79.95575349948808,0.016008641570806503,0.014882393181324005,0.009838959202170372,20251228_220922
logic_044,logical,5,fact,548,0.8161396384239197,0.8309558033943176,Triaxial,6.0437083,326.88370601926744,81.96756785220487,0.015235123224556446,0.010519662871956825,0.010147870518267155,20251228_220922
logic_044,logical,5,hallucination,697,0.8143004775047302,0.8319497108459473,Triaxial,6.231178,380.1279183213265,81.4282067056956,0.014524371363222599,0.01005290262401104,0.009630897082388401,20251228_220922
logic_045,logical,6,fact,596,0.7260531187057495,0.766592800617218,Triaxial,6.1266828,356.8828330085529,72.48365897611595,0.014797990210354328,0.008696254342794418,0.007800807245075703,20251228_220922
logic_045,logical,6,hallucination,503,0.7641392946243286,0.7991042137145996,Triaxial,5.9865823,313.80310022361573,69.86115529875298,0.016636891290545464,0.010623779147863388,0.009714429266750813,20251228_220922
logic_046,logical,5,fact,1053,0.8403217792510986,0.8568986654281616,Triaxial,6.584562,560.5809132703474,69.8649082627401,0.006966840010136366,0.0051155779510736465,0.004919568542391062,20251228_220922
logic_046,logical,5,hallucination,1054,0.8801295757293701,0.9122905135154724,Triaxial,6.547512,507.8207537518942,82.769493932589,0.010165341198444366,0.008460350334644318,0.007874359376728535,20251228_220922
logic_047,logical,4,fact,767,0.8483507633209229,0.9630745649337769,Triaxial,6.327168,436.42635712392047,76.26326238843778,0.00892806239426136,0.008280890993773937,0.0064255185425281525,20251228_220922
logic_047,logical,4,hallucination,1396,0.8591780662536621,0.920580267906189,Triaxial,6.7506094,621.8293642337984,89.13991769302066,0.007819903083145618,0.006627118680626154,0.005772550590336323,20251228_220922
logic_048,logical,6,fact,709,0.7417489886283875,0.77312171459198,Triaxial,6.25426,398.21379659356893,69.28794698962017,0.013512841425836086,0.008076857775449753,0.007434650789946318,20251228_220922
logic_048,logical,6,hallucination,1027,0.7898499965667725,0.8158804178237915,Triaxial,6.521589,497.7852149515377,72.13315328584096,0.010949328541755676,0.007288539316505194,0.006830880418419838,20251228_220922
logic_049,logical,5,fact,358,0.6539753675460815,0.96434485912323,Triaxial,5.6500535,210.44548464706273,82.14423611292854,0.0254915002733469,0.02370610274374485,0.010902300477027893,20251228_220922
logic_049,logical,5,hallucination,809,0.6697660088539124,0.7942740321159363,Triaxial,6.3472943,416.4194465748552,80.82362526586333,0.015444162301719189,0.009743276983499527,0.006928042974323034,20251228_220922
logic_050,logical,4,fact,384,0.8922055959701538,0.9761793613433838,Triaxial,5.710085,236.0986370441216,75.80667479760157,0.016190780326724052,0.015428617596626282,0.01288835983723402,20251228_220922
logic_050,logical,4,hallucination,696,0.9107231497764587,0.9520917534828186,Spherical,6.240899,398.3914529725412,75.29179876306304,0.009867110289633274,0.008944325149059296,0.008183946833014488,20251228_220922
logic_051,logical,5,fact,516,0.8101032376289368,0.9495287537574768,Triaxial,6.013221,326.4158466862647,83.31385028301369,0.013304266147315502,0.011995191685855389,0.008731154724955559,20251228_220922
logic_051,logical,5,hallucination,381,0.6122680306434631,0.6399864554405212,Triaxial,5.724049,235.40249990859968,68.25435516499408,0.02592165768146515,0.010617061518132687,0.009717307053506374,20251228_220922
logic_052,logical,6,fact,622,0.9478511810302734,0.9713554978370667,Spherical,6.144226,359.62269031741215,79.67808352674984,0.011580859310925007,0.01092690508812666,0.010404497385025024,20251228_220922
logic_052,logical,6,hallucination,597,0.9526925683021545,0.983398973941803,Spherical,6.107605,345.38630033194016,80.41645479709638,0.012367741204798222,0.011960513889789581,0.011225246824324131,20251228_220922
logic_053,logical,4,fact,374,0.7977725863456726,0.9143705368041992,Triaxial,5.714941,240.5898182660087,71.16956465053987,0.01872234046459198,0.015653250738978386,0.011915666051208973,20251228_220922
logic_053,logical,4,hallucination,574,0.8798842430114746,0.9537257552146912,Triaxial,6.1093197,368.53849294286067,84.79721298607778,0.008707537315785885,0.007920312695205212,0.006741343066096306,20251228_220922
logic_054,logical,5,fact,476,0.8267463445663452,0.9623352885246277,Triaxial,5.933387,298.29447423652607,84.97312563627221,0.015371076762676239,0.014234988950192928,0.010506277903914452,20251228_220922
logic_054,logical,5,hallucination,373,0.7035407423973083,0.8543661832809448,Triaxial,5.715776,243.0209924837182,72.02135001587874,0.01982143521308899,0.014468490146100521,0.009811007417738438,20251228_220922
logic_055,logical,6,fact,469,0.8888063430786133,0.8940120935440063,Triaxial,5.9453373,319.96820170221434,81.99276638931225,0.010378913953900337,0.008295426145195961,0.008199100382626057,20251228_220922
logic_055,logical,6,hallucination,529,0.9325341582298279,0.9883825182914734,Spherical,6.0577216,357.4976429622711,80.06876267638495,0.008180467411875725,0.007991498336195946,0.0071138981729745865,20251228_220922
logic_056,logical,5,fact,506,0.9177175164222717,0.9602299332618713,Spherical,5.993792,331.0678625843002,87.40295847546243,0.008511954918503761,0.007848376408219337,0.00716881500557065,20251228_220922
logic_056,logical,5,hallucination,526,0.9373588562011719,0.974341094493866,Spherical,6.0313535,344.0888113883781,80.68248442675811,0.00788993388414383,0.007490233983844519,0.0069324248470366,20251228_220922
logic_057,logical,4,fact,493,0.8063793778419495,0.8439692258834839,Triaxial,5.991328,333.55342620309756,80.75049058661496,0.01102404948323965,0.007852255366742611,0.007168362848460674,20251228_220922
